Words,Emotion-1,Emotion-2,Emotion-3,Emotion-4
業者,怒り,信頼感,,
楽しい,楽しい,,,
楽しかった,楽しい,,,
楽しく,楽しい,,,
楽しみに,悲しい,,,
様,悲しい,不安,信頼感,
横,怒り,,,
機,驚き,,,
欲しい,悲しい,,,
歩いて,嫌悪感,,,
歩き,怒り,,,
歩道,怒り,,,
歯,不安,,,
死,悲しい,,,
死んだ,悲しい,,,
死んで,悲しい,,,
死亡,悲しい,,,
死去,悲しい,,,
母,悲しい,,,
母親,悲しい,,,
毎日,楽しい,,,
気,不安,,,
気に入り,悲しい,,,
気分,楽しい,,,
気持ち,嫌悪感,,,
水,怒り,,,
水泳,驚き,,,
汚い,嫌悪感,,,
江,驚き,,,
池,驚き,,,
決まら,不安,,,
没頭,楽しい,,,
沢,驚き,,,
治療,不安,信頼感,,
注意,怒り,,,
活動,驚き,,,
活躍,驚き,,,
浮気,嫌悪感,,,
海外,楽しい,,,
消費,不安,,,
減った,不安,,,
温泉,楽しい,,,
満員,嫌悪感,,,
準備,不安,,,
災害,不安,,,
無い,嫌悪感,,,
無し,嫌悪感,驚き,,
無事に,不安,,,
無視,嫌悪感,,,
煽ら,怒り,,,
煽り,怒り,,,
父,悲しい,,,
父親,悲しい,,,
物,怒り,,,
特に,驚き,,,
犬,悲しい,,,
犯人,嫌悪感,,,
犯罪,嫌悪感,,,
状態,不安,,,
状況,不安,,,
猫,悲しい,,,
現在,不安,,,
理不尽な,怒り,,,
理由,嫌悪感,,,
理解,信頼感,,,
環境,不安,,,
生,驚き,,,
生きて,楽しい,,,
生活,不安,,,
甥,楽しい,,,
甲斐,嫌悪感,信頼感,,
男,嫌悪感,,,
男性,嫌悪感,,,
異動,不安,,,
番組,楽しい,,,
病,不安,,,
病気,不安,,,
病院,信頼感,,,
症,不安,,,
症状,不安,,,
痛い,不安,,,
癌,悲しい,,,
発表,驚き,,,
発見,驚き,,,
発言,嫌悪感,,,
白血病,驚き,,,
目,悲しい,,,
相手,怒り,,,
相談,信頼感,,,
看護,信頼感,,,
知った,驚き,,,
知って,驚き,,,
知ら,驚き,,,
知り合い,驚き,,,
知人,悲しい,,,
確認,不安,信頼感,,
社,驚き,,,
社会,不安,,,
社員,嫌悪感,,,
社長,信頼感,,,
祖母,悲しい,,,
祖父,悲しい,,,
私,信頼感,,,
税,不安,,,
税金,怒り,,,
突然,驚き,,,
立ち,楽しい,,,
立った,怒り,,,
競馬,楽しい,,,
笑い,楽しい,,,
笑顔,楽しい,,,
管理,怒り,,,
精神,不安,信頼感,,
糞,嫌悪感,,,
約束,信頼感,,,
紅葉,楽しい,,,
終了,不安,,,
絆,信頼感,,,
経済,不安,,,
結婚,驚き,,,
結局,信頼感,,,
結果,不安,,,
給料,不安,,,
統計,怒り,,,
続いて,不安,,,
続け,不安,,,
続けて,不安,,,
続ける,嫌悪感,,,
総理,怒り,,,
美味しい,楽しい,,,
義母,嫌悪感,,,
老後,不安,,,
考え,嫌悪感,,,
考えた,不安,,,
考えて,信頼感,,,
考える,不安,,,
聞いた,嫌悪感,,,
聞いて,信頼感,,,
聞か,怒り,,,
職員,怒り,,,
職場,嫌悪感,,,
肩,不安,,,
育児,信頼感,,,
腹,怒り,,,
自分,怒り,,,
自分勝手な,嫌悪感,,,
自動車,怒り,,,
自宅,嫌悪感,,,
自己,嫌悪感,,,
自殺,悲しい,,,
自身,嫌悪感,,,
自転車,怒り,,,
臭,嫌悪感,,,
臭い,嫌悪感,,,
良い,信頼感,,,
良かった,信頼感,,,
良く,不安,,,
色々,楽しい,,,
花,悲しい,,,
花子,驚き,,,
芸能,驚き,,,
若い,嫌悪感,,,
荷物,信頼感,,,
菓子,楽しい,,,
落ちた,悲しい,,,
落ちて,悲しい,,,
落とした,悲しい,,,
落として,悲しい,,,
葬式,悲しい,,,
薬,驚き,,,
薬物,嫌悪感,,,
虐待,怒り,,,
行き,楽しい,,,
行く,楽しい,,,
行った,楽しい,,,
行ったら,驚き,,,
行って,楽しい,,,
行動,怒り,嫌悪感,,
行為,怒り,,,
被害,悲しい,怒り,,
裏切ら,怒り,,,
裏切り,怒り,,,
見,楽しい,,,
見た,嫌悪感,,,
見つかった,驚き,,,
見つけた,嫌悪感,楽しい,,
見て,楽しい,,,
見る,怒り,,,
覚え,怒り,,,
覚えた,怒り,,,
覚えて,驚き,,,
覚える,怒り,,,
親,悲しい,,,
親友,信頼感,,,
親戚,悲しい,,,
親身に,信頼感,,,
観,楽しい,,,
観た,楽しい,,,
解散,驚き,,,
解決,信頼感,,,
言い,怒り,,,
言う,怒り,,,
言った,嫌悪感,信頼感,,
言って,怒り,,,
言わ,怒り,,,
言動,怒り,,,
言葉,信頼感,,,
計画,楽しい,,,
診断,不安,,,
詐欺,悲しい,怒り,嫌悪感,驚き
評価,信頼感,,,
試合,驚き,楽しい,,
試験,不安,,,
話,信頼感,,,
話し,信頼感,,,
話した,信頼感,,,
話して,嫌悪感,,,
認知,悲しい,,,
誕生日,驚き,,,
誘拐,怒り,嫌悪感,,
説明,怒り,信頼感,,
誰,怒り,,,
調子,不安,,,
警察,信頼感,,,
負けた,悲しい,,,
財布,悲しい,,,
責任,嫌悪感,,,
貯金,不安,,,
貰った,信頼感,,,
買い,楽しい,,,
買い物,楽しい,,,
買う,悲しい,嫌悪感,信頼感,楽しい
買った,悲しい,,,
買って,悲しい,,,
質問,怒り,信頼感,,
購入,悲しい,,,
赤ちゃん,驚き,楽しい,,
走って,驚き,,,
起きた,驚き,,,
趣味,楽しい,,,
足,悲しい,怒り,,
身体,不安,,,
身内,悲しい,,,
車,怒り,,,
転勤,悲しい,驚き,,
転職,不安,,,
辞めた,悲しい,驚き,,
込ま,怒り,,,
込み,怒り,,,
込んで,怒り,,,
近く,嫌悪感,,,
近所,嫌悪感,,,
返事,怒り,信頼感,,
迷惑,怒り,,,
退職,悲しい,,,
途中,悲しい,,,
通り,怒り,,,
通勤,不安,怒り,,
連絡,信頼感,,,
連続,驚き,,,
逮捕,驚き,,,
週,楽しい,,,
進んで,悲しい,不安,信頼感,
遊び,楽しい,,,
遊ぶ,楽しい,,,
遊んだ,楽しい,,,
遊んで,楽しい,,,
運動,楽しい,,,
運転,怒り,,,
過ごした,楽しい,,,
過ごす,楽しい,,,
道,嫌悪感,,,
違う,怒り,,,
違反,嫌悪感,,,
遭遇,嫌悪感,,,
選手,驚き,,,
部下,怒り,,,
部屋,嫌悪感,,,
酒,楽しい,,,
野党,怒り,,,
野球,楽しい,,,
量,驚き,,,
金,不安,,,
金銭,不安,,,
金額,驚き,,,
釣り,楽しい,,,
鍵,不安,,,
長年,悲しい,,,
間,信頼感,,,
関係,信頼感,,,
降って,悲しい,,,
際,怒り,信頼感,,
障害,悲しい,不安,,
隣,嫌悪感,,,
隣人,嫌悪感,,,
離れて,信頼感,,,
離婚,悲しい,,,
雨,悲しい,,,
雪,驚き,,,
電話,怒り,,,
電車,嫌悪感,,,
非常に,怒り,,,
面白い,楽しい,,,
韓国,怒り,,,
音,嫌悪感,,,
音楽,楽しい,,,
頃,悲しい,,,
順番,怒り,,,
頑張って,信頼感,,,
頭,怒り,,,
頼り,信頼感,,,
頼んで,信頼感,,,
額,驚き,,,
顔,嫌悪感,,,
願い,信頼感,,,
顧客,怒り,,,
風呂,嫌悪感,,,
風邪,不安,,,
食べ,悲しい,楽しい,,
食べた,楽しい,,,
食べて,嫌悪感,,,
食べる,楽しい,,,
食事,楽しい,,,
飲み,楽しい,,,
飲む,楽しい,,,
飼い,悲しい,,,
飼い犬,悲しい,,,
飼って,悲しい,,,
館,楽しい,,,
香港,驚き,,,
馬,楽しい,,,
馬券,驚き,,,
駅,悲しい,怒り,嫌悪感,
駐車,怒り,,,
騒いで,嫌悪感,,,
騒音,怒り,,,
騙さ,怒り,,,
驚いた,驚き,,,
驚き,驚き,,,
驚く,驚き,,,
高,驚き,,,
高い,不安,怒り,嫌悪感,驚き
高校,驚き,,,
高齢,不安,,,
髪,嫌悪感,,,
